Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Trust Bank Visa International Gold Card,Trust Bank,https://www.tblbd.com/visa-international-gold,,,,,,,,,,,,,,,,,,,,,
Trust Bank Debit Card,Trust Bank,https://www.tblbd.com/debit-card,,,,,,,,,,,,,,,,,,,,,
Trust Bank Prepaid Card,Trust Bank,https://www.tblbd.com/prepaid-card,,,,,,,,,,,,,,,,,,,,,
Trust Hajj Card ,Trust Bank,https://www.tblbd.com/trust-hajj-card,,,,,,,,,,,,,,,,,,,,,
Trust Proprietary Card,Trust Bank,https://www.tblbd.com/trust-proprietary-card,,,,,,,,,,,,,,,,,,,,,
Pubali Debit Card,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,,,,,,,,,,,,,,,,,,,,,
Pubali MasterCard,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,,,,,,,,,,,,,,,,,,,,,
UCB Debit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/debit-card,,,,,,,,,,,,,,,,,,,,,
UCB Visa Classic Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
UCB MasterCard Classic Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
UCB Visa Gold Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
UCB MasterCard Gold Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
UCB Visa Platinum Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
UCB MasterCard Platinum Credit Card,United Commercial Bank Limited,https://www.ucb.com.bd/index.php?page=retail-banking/cards/credit-card,,,,,,,,,,,,,,,,,,,,,
