id,card_name,bank_name,url,card_type,interest_rate,max_credit_limit,international_transaction_available,balance_transfer_available,dual_currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward_luxary_resort_hotel,reward_insurance_plan,reward_travel_benefits,reward_fine_dining,reward_buffet_discount,reward_medical_discount,reward_shopping,reward_airlines_ticket,reward_point_program,reward_emi_available
,Dutch Bangla MasterCard Classic International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/masterclassicintcredit.html,Credit,,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,IFIC Visa Local Classic Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_local_classic_card.php,Credit,,,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
,IFIC Classic Gold Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_local_gold_card.php,Credit,,,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
,IFIC Dual Classic Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_dual_int_classic_card.php,Credit,,50000,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
,IFIC Dual Gold Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_dual_int_gold_card.php,Credit,,500000,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
,IFIC International Debit Card,IFIC Bank Limited,https://www.ificbank.com.bd/int_debit_card.php,Debit,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jamuna Bank VISA Classic Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/120,Credit,30,100000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Jamuna Bank VISA Gold Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/121,Credit,30,200000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jamuna Bank VISA Dual Gold Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/122,Credit,,200000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jamuna Bank Visa Electron Debit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/123,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Meghna Debit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/debit_card.php,Debit,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Meghna Visa Silver Credit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/silver_credit_card.php,Credit,30,300000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Meghna Visa Gold Credit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/gold_credit_card.php,Credit,18,500000,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
,MDB Visa Gold Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,,199000,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0
,MDB Visa Platinum Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,18,500000,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1
,MDB Visa Debit Card,Midland Bank,https://www.midlandbankbd.net/debit-card/,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,MDB Prepaid Card,Midland Bank,https://www.midlandbankbd.net/mdb-prepaid-card/,Prepaid,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Modhumoti Visa Dual Platinum Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-platinum-credit-card/,Credit,,2000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Modhumoti Visa Dual Gold Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-gold-credit-card/,Credit,,500000,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0
,Modhumoti Visa Dual Classic Credit Card,Modhumoti Bank,https://www.modhumotibankltd.com/modhumoti-visa-dual-classic-credit-card/,Credit,,75000,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0
,MTB Visa Classic Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/local-classic-credit-card,Credit,,500000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,MTB Visa Gold Local Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/local-gold-credit-card,Credit,,1000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,MTB Visa Dual Gold Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/dual-currency-credit-card,Credit,,100000,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
,MTB VISA Platinum Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-visa-platinum-credit-card/,Credit,0.3,1000000,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0
,MTB Visa Signature Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-visa-signature-credit-card/,Credit,0.3,1000000,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0
,MTB Classic Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-classic-master-credit-card/,Credit,,500000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,MTB Gold Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-gold-master-credit-card/,Credit,,1000000,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
,MTB Titanium Master Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-titanium-master-credit-card/,Credit,0.3,1000000,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
,MTB World MasterCard Credit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/credit-card/mtb-world-mastercard-credit-card/,Credit,0.3,1000000,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0
,MTB Visa Classic Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MTB Visa Platinum Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MTB Visa Signature Debit Card,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MTB MasterCard Debit Gold,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MTB MasterCard Debit Titanium,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MTB MasterCard World Debit,Mutual Trust bank Limited,http://www.mutualtrustbank.com/cards/debit-card/,Debit,,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NCC Debit Card,National Credit and Commerce Bank Limited,https://www.nccbank.com.bd/index.php/nccbproducts_debitcard,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NCC Visa Credit Card,National Credit and Commerce Bank Limited,https://www.nccbank.com.bd/index.php/nccbproducts_creditcard,Credit,2.08,,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
,NRB Bank Visa EMV Global Debit Card,NRB Bank Limited,http://www.nrbbankbd.com/debit-cards/,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NRB Bank Visa Credit Card,NRB Bank Limited,http://www.nrbbankbd.com/credit-card/,Credit,,,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
,NRBC Bank Debit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Debit_card,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NRBC Platinum Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Platinum_Dual_Currency_Credit_card,Credit,,500000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,NRBC Gold Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Gold__Dual_Currency_Credit_card,Credit,,500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NRBC Classic Dual Currency Credit Card,NRB Commercial Bank Limited,https://www.nrbcommercialbank.com/cards/NRBCB/Classical__Dual_Currency_Credit_card,Credit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank Debit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/debit_cards,Debit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank MasterCard Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Gold,Credit,,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank Visa Gold Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Gold,Credit,,50000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank MasterCard Silver Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_Master_Silver,Credit,,50000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank Visa Classic Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/Prime_Bank_VISA_Classic,Credit,,50000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank International Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/International_Card,Credit,,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prime Bank Platinum Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/platinum_credit_card,Credit,,2500000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
,Prime Bank Hasanah Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/hasanah_credit_card,Credit,,,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0
,Prime Bank JCB Credit Card,Prime Bank,https://www.primebank.com.bd/index.php/home/jcb_credit_card,Credit,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Trust Bank Platinum Credit Card,Trust Bank,https://www.tblbd.com/TBL-platinum-card,Credit,,500000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,Trust Bank Visa International Classic Dual Card,Trust Bank,https://www.tblbd.com/visa-international-classic-dual,Credit,,12000000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,Trust Bank Visa International Gold Card,Trust Bank,https://www.tblbd.com/visa-international-gold,Credit,,500000,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
,Trust Bank Debit Card,Trust Bank,https://www.tblbd.com/debit-card,Debit,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,Trust Bank Prepaid Card,Trust Bank,https://www.tblbd.com/prepaid-card,Prepaid,,,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
,Trust Hajj Card,Trust Bank,https://www.tblbd.com/trust-hajj-card,Hajj,,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trust Proprietary Card,Trust Bank,https://www.tblbd.com/trust-proprietary-card,Proprietary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pubali Debit Card,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,Debit,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pubali Visa Gold Credit Card,Pubali Bank Limited,https://www.pubalibangla.com/credit-card.asp,Credit,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
